exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
1133,5998,6 hours 46 min ago,178,36,27,addington,
439,1375,2 years 41 weeks ago,207,0,0,aha,
,,,,,,,2019-01-23 09:14:43
